rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Gm20528,3.35E-54,1.598826735,0.653,0.469,1.08E-49,3.028968837,,222,334
Fgf1,3.24E-35,1.475397393,0.582,0.423,1.04E-30,2.780602256,,,
Tshr,3.04E-52,1.285832963,0.329,0.124,9.82E-48,2.43822787,,,
Gm5820,5.13E-53,1.002515594,0.25,0.068,1.65E-48,2.003490395,,,
Glul,2.07E-85,0.996867586,0.762,0.509,6.68E-81,1.995662264,,,
Nudt19,1.20E-89,0.973383754,0.855,0.703,3.87E-85,1.96344033,,,
Cxcl1,2.28E-62,0.818593003,0.302,0.084,7.35E-58,1.763685109,,,
Polr3e,2.66E-48,0.779884293,0.734,0.576,8.59E-44,1.716993161,,,
Plk3,1.33E-76,0.769463861,0.508,0.196,4.30E-72,1.704636184,,,
Nfkbiz,1.00E-32,0.767051324,0.35,0.192,3.23E-28,1.701787999,,,
Gm43305,1.19E-76,0.763135483,0.462,0.18,3.83E-72,1.697175177,,,
Crot,1.59E-25,0.757688808,0.886,0.877,5.12E-21,1.690779831,,,
Fkbp5,6.90E-34,0.729074321,0.725,0.593,2.23E-29,1.657575197,,,
Gm35188,7.80E-48,0.712808945,0.81,0.673,2.52E-43,1.63899215,,,
Gcnt2,1.29E-25,0.685893937,0.872,0.816,4.15E-21,1.608698471,,,
Pfkfb3,1.41E-28,0.676081963,0.674,0.52,4.54E-24,1.597794604,,,
Uap1,2.19E-51,0.660646287,0.809,0.643,7.08E-47,1.580790616,,,
Gm45792,9.36E-80,0.651900185,0.976,0.953,3.02E-75,1.571236321,,,
Mpv17l,9.95E-41,0.649060261,0.912,0.881,3.21E-36,1.568146408,,,
Prlr,6.48E-46,0.642942062,0.804,0.614,2.09E-41,1.561510274,,,
Tob2,9.90E-50,0.635160811,0.688,0.468,3.19E-45,1.553110859,,,
4430402I18Rik,3.53E-28,0.63390203,0.615,0.463,1.14E-23,1.551756329,,,
Resf1,2.94E-22,0.632616999,0.846,0.799,9.47E-18,1.550374771,,,
Abhd2,4.60E-31,0.620485523,0.672,0.55,1.48E-26,1.537392487,,,
Bhlhe40,9.97E-54,0.620124764,0.595,0.352,3.22E-49,1.537008096,,,
Gramd1b,1.16E-90,0.620040839,0.998,0.999,3.74E-86,1.536918687,,,
Napsa,7.04E-40,0.61721562,0.942,0.938,2.27E-35,1.533911895,,,
Pawr,1.32E-29,0.603662952,0.887,0.837,4.25E-25,1.519569808,,,
Sdc4,2.69E-53,0.600984798,0.75,0.533,8.67E-49,1.516751563,,,
Col4a3,1.84E-36,0.591383544,0.972,0.974,5.93E-32,1.506690971,,,
Gm22146,4.98E-44,0.588744786,0.36,0.158,1.61E-39,1.50393768,,,
Smad7,3.20E-48,0.58743377,0.553,0.321,1.03E-43,1.502571632,,,
Mat2a,1.84E-61,0.580853406,0.971,0.946,5.94E-57,1.495733767,,,
Clic4,2.16E-29,0.575717119,0.88,0.831,6.97E-25,1.49041812,,,
Acsm1,6.63E-56,0.571433713,0.958,0.945,2.14E-51,1.485999585,,,
