rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
St3gal4,0.039343034,0.516256342,0.409,0.303,1,1.430239093,,,
Nipal2,0.004395911,0.515515299,0.446,0.281,1,1.429504636,,,
Sorbs2os,0.020457678,0.51525728,0.301,0.18,1,1.429248999,,,
Ascc3,0.001570588,0.513651382,0.824,0.775,1,1.427658953,,,
Rapgef5,0.124533878,0.513560746,0.456,0.404,1,1.427569265,,,
Zfr2,0.002664831,0.513268959,0.321,0.157,1,1.427280567,,,
Pld1,0.01288599,0.511773325,0.332,0.202,1,1.425801679,,,
Grik5,0.001731305,0.511663463,0.306,0.135,1,1.425693107,,,
Mocs1,0.00029464,0.510848237,0.254,0.079,1,1.424887717,,,
Naa20,0.00108221,0.51073486,0.383,0.191,1,1.424775744,,,
Ybx3,0.00046843,0.510198144,0.57,0.337,1,1.424245792,,,
Iws1,0.004580234,0.509461909,0.549,0.416,1,1.423519158,,,
Nlrc5,0.015052534,0.508835278,0.285,0.146,1,1.42290099,,,
Parp4,0.005820677,0.508685154,0.725,0.64,1,1.422752933,,,
Sec24b,0.000619197,0.506972053,0.705,0.494,1,1.421064515,,,
Ttc9,0.006088825,0.506214028,0.295,0.135,1,1.420318051,,,
Tbc1d9,0.014648158,0.505799167,0.285,0.157,1,1.419909683,,,
Sidt1,0.173022821,0.505368819,0.44,0.382,1,1.419486196,,,
Smad7,0.019483083,0.505093853,0.503,0.382,1,1.419215679,,,
Pabpc1,0.019909619,0.505017702,0.596,0.517,1,1.419140769,,,
Wdr44,0.012312133,0.504745527,0.425,0.292,1,1.418873063,,,
Sf3b6,0.005161851,0.504689712,0.43,0.281,1,1.418818171,,,
Rnf213,0.565670107,0.5034103,0.513,0.472,1,1.417560491,,,
Nsf,0.012725437,0.501999899,0.549,0.404,1,1.416175339,,,
Clca3a2,0.026835499,0.501334389,0.466,0.337,1,1.415522213,,,
Gm35188,0.073108503,0.499602929,0.523,0.416,1,1.413824383,,,
Zfp532,0.006158946,0.498594121,0.383,0.225,1,1.412836109,,,
Gm26532,0.000661107,0.498257442,0.223,0.067,1,1.412506437,,,
Tspan14,0.021474707,0.498170735,0.56,0.472,1,1.412421547,,,
Arhgap32,0.000706709,0.49758265,0.756,0.618,1,1.41184592,,,
Serinc2,0.00094072,0.49721026,0.637,0.404,1,1.411481539,,,
Slc25a24,0.001172312,0.496821944,0.363,0.169,1,1.411101676,,,
Cdk19,0.001903224,0.496706394,0.679,0.506,1,1.41098866,,,
Baiap2l1,0.022034193,0.495524716,0.741,0.652,1,1.409833426,,,
Emc3,0.000759503,0.493805176,0.223,0.067,1,1.408154055,,,
Ctnnal1,0.000800743,0.492963153,0.668,0.449,1,1.407332431,,,
Gm16599,0.021497807,0.492784967,0.648,0.517,1,1.407158623,,,
9930021J03Rik,0.018132477,0.492551604,0.668,0.596,1,1.406931027,,,
Aox1,0.008166109,0.491812704,0.233,0.101,1,1.406210629,,,
Zfp871,0.000710315,0.491712109,0.492,0.292,1,1.406112581,,,
Zc3hav1,0.001252879,0.491617599,0.451,0.247,1,1.40602047,,,
Dip2b,0.000283524,0.491404296,0.912,0.719,1,1.405812605,,,
Pura,0.007008226,0.491360851,0.653,0.517,1,1.405770271,,,
Arhgap42,0.003970918,0.491046223,0.58,0.472,1,1.40546373,,,
Nrxn3,0.811938998,0.49073116,0.088,0.101,1,1.405156831,,,
1700025G04Rik,0.022174259,0.48850535,0.503,0.371,1,1.402990607,,,
