rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold
Sh3rf1,1.08214385969121e-206,0.45015579922705,0.95,0.934,3.49142894890772e-202,1.36618778585954
Gm49708,6.2905074000668e-178,0.448926227666457,0.212,0.089,2.02956930755755e-173,1.36502391548656
Fkbp5,8.01020898146783e-248,0.448909954378922,0.927,0.878,2.58441382578078e-243,1.36500851839933
Fmn1,9.55530702669571e-124,0.448686908411304,0.799,0.719,3.0829242590931e-119,1.36479749936684
Col8a1,6.68295207919674e-29,0.434192824998335,0.202,0.155,2.15618765883203e-24,1.3511546625357
Gm26632,3.71677453843805e-183,0.433847229511001,0.402,0.237,1.19918013708165e-178,1.35083103417604
Klf10,0,0.433648254497305,0.311,0.113,0,1.35064474179843
Tbc1d14,6.57339835447365e-139,0.433130714680065,0.736,0.62,2.12084124508738e-134,1.35016031019701
Adra1a,2.13912669071059e-62,0.425180954104438,0.546,0.463,6.90167835490863e-58,1.34274090929349
Gabrb3,4.55734071774988e-60,0.425127472942726,0.162,0.097,1.47038040917482e-55,1.34269113438566
1600010M07Rik,3.08206032434336e-217,0.422278638829024,0.52,0.318,9.94395943046142e-213,1.34004239016644
Malat1,0,0.421386177308481,1,1,0,1.33921368666077
Bhlhe40,9.93814382836246e-167,0.415226229616257,0.504,0.341,3.20644272478286e-162,1.33350776861107
C330002G04Rik,1.34972574035607e-100,0.413206464686092,0.807,0.749,4.35475512868483e-96,1.33164217146447
Acot12,6.29509878744835e-144,0.412154063183962,0.839,0.738,2.03105067278234e-139,1.33067113381688
Timp3,4.12637459984662e-17,0.410616480616344,0.743,0.786,1.33133350089451e-12,1.32925369854804
Pawr,6.69308911198793e-100,0.409585222305979,0.905,0.887,2.15945827109179e-95,1.32830386918957
G6pc,7.5013518141998e-11,0.409556814978801,0.614,0.645,2.42023614933342e-06,1.32827771453454
Sgk1,1.72985480529395e-118,0.405699877679768,0.158,0.071,5.5812035438004e-114,1.32473140590838
Ell2,4.35826458974234e-171,0.402452841504447,0.743,0.595,1.40615048723447e-166,1.3217532201355
Eef1akmt3,2.47222719013757e-164,0.400828733881852,0.41,0.251,7.97639380625986e-160,1.32026609945468
Susd3,4.45833076638468e-164,0.400475384555677,0.715,0.571,1.43843583846635e-159,1.31994277539943
Polr3e,1.30621453615049e-125,0.400061888952697,0.75,0.659,4.21437057943595e-121,1.31956451643936
Gm7480,2.25025434061553e-196,0.399784625871541,0.388,0.217,7.26022060456194e-192,1.31931094145738
Fmo2,8.64226859733371e-97,0.39841219405431,0.743,0.655,2.78834154024375e-92,1.31805648137078
Phyh,2.56815363946478e-86,0.395314752757191,0.715,0.635,8.28589090236917e-82,1.31522967254564
Col4a3,2.16922837096886e-50,0.394494258346116,0.926,0.96,6.99879841609393e-46,1.31448188333342
Kcnk5,5.23921210629664e-79,0.392439332809185,0.882,0.894,1.69037939397555e-74,1.31261091302805
Slc7a7,3.8038287177625e-17,0.391312107930559,0.436,0.411,1.22726729749889e-12,1.31158572769591
Nuak2,1.80972192175774e-05,0.389812917150713,0.441,0.438,0.583888680835918,1.3102234883667
Dab2,3.71370103672093e-158,0.388236401533708,0.911,0.94,1.19818850248764e-153,1.30879251400931
Enpp6,8.54939241464091e-38,0.386552071470148,0.521,0.461,2.75837596865974e-33,1.30726540523857
Sik3,2.16764607806055e-246,0.385465464619426,0.967,0.951,6.99369330625456e-242,1.30628117177255
Gm26827,6.7064561055074e-66,0.385323845250721,0.337,0.244,2.16377099788091e-61,1.30615294950095
Prkag2,6.86581095806191e-117,0.383365202802529,0.859,0.791,2.21518524750909e-112,1.30438088352458
Uap1,9.3916206992999e-64,0.383331381029193,0.628,0.542,3.03011250242212e-59,1.30435030467305
Ralgapa2,7.50235680906685e-161,0.381972573036345,0.887,0.812,2.42056040087733e-156,1.30312237556928
Trdn,4.57443961540067e-98,0.377450230431077,0.125,0.053,1.47589719751287e-93,1.2990439398553
Slc25a42,2.75734146864376e-122,0.375182974339871,0.653,0.506,8.89628651443222e-118,1.29700404084023
Acvr2b,1.48698002164812e-102,0.373527228163692,0.31,0.199,4.79759234184548e-98,1.29551635455224
4930556N13Rik,1.54932939176459e-123,0.370340451154973,0.412,0.274,4.99875634958928e-119,1.29265783961003
Egfros,9.87261299075591e-109,0.367273219640031,0.417,0.286,3.18529985533749e-104,1.28991251299325
Chka,2.55553303679429e-28,0.366125142909986,0.613,0.582,8.2451717899131e-24,1.28888642680937
Nfkbiz,2.81980634418641e-80,0.365300070229575,0.295,0.201,9.09782318888304e-76,1.28814952751876
Mbnl2,6.51956435011901e-56,0.360628412864544,0.781,0.764,2.1034722419224e-51,1.28398505733035
Klf9,1.25372710832366e-145,0.354561997345462,0.836,0.756,4.04502514229546e-141,1.27859733980287
Sptlc2,1.30985301715667e-76,0.353527571904468,0.714,0.625,4.22610977455426e-72,1.27768090248942
Cyp27a1,1.24401131348195e-77,0.351476234455956,0.396,0.295,4.01367810181816e-73,1.27586548609772
Aco2,4.16014806932988e-97,0.34946114613488,0.772,0.697,1.34223017308859e-92,1.27408466139793
Flnb,6.48728106630425e-129,0.348784719635103,0.798,0.696,2.0930563632324e-124,1.27348743010775
Gm15511,4.7757710415545e-151,0.348490303909647,0.283,0.148,1.54085476884714e-146,1.27322757167581
Nkain1,9.42895597474154e-240,0.348110951554786,0.166,0.041,3.04215835569061e-235,1.27289282429849
Sik2,8.47041323075092e-117,0.347386745839766,0.748,0.633,2.73289412476948e-112,1.27225401644351
