rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Kifap3,0.351057395,0.338159652,0.395,0.308,1,1.264142984,,,
Tmem164,0.171453963,0.33802283,0.842,0.718,1,1.264023101,,,
Lrrcc1,0.203874033,0.337714673,0.289,0.179,1,1.263753137,,,
Sox5os4,0.036093905,0.337237875,0.421,0.179,1,1.263335546,,,
Jpx,0.299873629,0.337064053,0.289,0.205,1,1.263183343,,,
Mib1,0.388955662,0.336864164,0.632,0.641,1,1.263008338,,,
Rabepk,0.057540194,0.336851791,0.184,0.051,1,1.262997507,,,
Sh3gl1,0.693973608,0.336812559,0.158,0.128,1,1.262963162,,,
Myh9,0.127405083,0.3366123,0.921,0.846,1,1.262787863,,,
Wasf2,0.300841254,0.336460154,0.711,0.667,1,1.262654697,,,
Smap1,0.868676466,0.336025032,0.316,0.333,1,1.262273933,,,
Hdac1,0.62312601,0.3358918,0.263,0.231,1,1.262157368,,,
Gm45871,0.155820063,0.335845367,0.105,0.026,1,1.262116746,,,
Lrrc1,0.367761191,0.335826657,0.737,0.718,1,1.262100379,,,
Speg,0.247541809,0.33577491,0.316,0.205,1,1.26205511,,,
Sh3yl1,0.405851142,0.334402639,0.184,0.128,1,1.260855232,,,
Coro2b,0.337566056,0.333805838,0.711,0.641,1,1.260333761,,,
Cep85l,0.28596078,0.332846626,0.737,0.692,1,1.259496075,,,
Foxj2,0.329145139,0.332769541,0.211,0.128,1,1.25942878,,,
Them7,0.974512686,0.332686165,0.263,0.308,1,1.259355998,,,
Nudt3,0.407396242,0.332514206,0.158,0.103,1,1.259205901,,,
Zfp977,0.040053808,0.332420775,0.105,0,1,1.259124355,,,
Sf1,0.628241388,0.332243199,0.368,0.333,1,1.258969383,,,
Edc3,0.437695263,0.332034426,0.263,0.205,1,1.25878721,,,
Jph1,0.269133592,0.331783364,0.184,0.103,1,1.258568172,,,
Srp19,0.092432214,0.331388385,0.211,0.077,1,1.25822365,,,
Shroom2,0.413815366,0.331065368,0.553,0.513,1,1.257941967,,,
Lcor,0.66501808,0.330658583,0.658,0.769,1,1.257587326,,,
Fbxo9,0.31629629,0.3303479,0.237,0.154,1,1.257316534,,,
Ssu72,0.257117592,0.330108437,0.289,0.179,1,1.257107859,,,
Abcc1,0.369188905,0.330080217,0.237,0.179,1,1.257083269,,,
Sik1,0.144763499,0.329983054,0.395,0.231,1,1.25699861,,,
Glyr1,0.762817611,0.329326559,0.395,0.436,1,1.256426745,,,
