rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Slc35f1,0.004099953,0.433302961,0.246,0.176,1,1.350321518,,,
Slc16a6,5.31E-06,0.433211301,0.348,0.222,0.171286395,1.35023573,,,
Noct,0.000130939,0.431390099,0.36,0.255,1,1.34853232,,,
Sptlc2,5.07E-05,0.428882467,0.804,0.737,1,1.346190394,,,
Zeb1,1.72E-05,0.425105956,0.531,0.418,0.554261653,1.342671109,,,
Klf9,3.17E-05,0.424741273,0.67,0.587,1,1.342331753,,,
Slc4a4,8.02E-06,0.424364826,0.888,0.954,0.258821669,1.34198154,,,
Rora,2.59E-06,0.418344566,0.939,0.964,0.083712553,1.336393217,,,
Plcb1,0.01074537,0.416290424,0.692,0.673,1,1.334491784,,,
Pawr,5.48E-05,0.412085641,0.896,0.86,1,1.330608026,,,
Auts2,3.75E-06,0.411118802,0.92,0.949,0.120953986,1.329716602,,,
Litaf,2.93E-05,0.410918317,0.467,0.347,0.943911553,1.32953183,,,
Gstt2,8.74E-05,0.4093942,0.529,0.416,1,1.328128004,,,
Prickle2,0.001965361,0.407354098,0.474,0.398,1,1.326251238,,,
Fhl2,0.001333044,0.405630551,0.175,0.107,1,1.32466775,,,
C3,0.019256487,0.401620607,0.372,0.316,1,1.320990972,,,
Abcc2,0.020019363,0.399375061,0.675,0.689,1,1.318936457,,,
Cd9,0.003270632,0.398892598,0.318,0.25,1,1.318495455,,,
Maf,0.001262523,0.392363322,0.621,0.574,1,1.312541758,,,
Fgf1,0.001264523,0.391651291,0.346,0.247,1,1.311894122,,,
Klf13,6.76E-06,0.389084157,0.597,0.462,0.218200012,1.309561812,,,
Dstn,0.002228049,0.387048252,0.434,0.362,1,1.307715085,,,
Tkfc,1.80E-05,0.385406812,0.213,0.11,0.580223498,1.306228066,,,
Rbfox1,0.040429557,0.383550704,0.157,0.209,1,1.304548611,,,
A430090L17Rik,0.000552463,0.382273023,0.196,0.117,1,1.303393787,,,
Atf3,0.001353284,0.379994806,0.109,0.051,1,1.30133717,,,
Agrp,9.80E-06,0.377688338,0.318,0.194,0.316102217,1.299258356,,,
Rhoa,8.94E-05,0.377143312,0.663,0.574,1,1.298767611,,,
Zbtb46,4.21E-05,0.376098963,0.26,0.153,1,1.29782779,,,
Myh9,0.003755126,0.371132278,0.701,0.658,1,1.293367513,,,
Calm2,0.004628858,0.36977789,0.374,0.316,1,1.292153882,,,
Igsf11,0.005049435,0.365585804,0.509,0.444,1,1.288404678,,,
Palld,0.069009321,0.364756192,0.644,0.584,1,1.287664003,,,
Srgap1,6.49E-06,0.362057642,0.209,0.099,0.209417127,1.285257688,,,
Hoga1,0.000890727,0.356733266,0.779,0.735,1,1.280523089,,,
Nedd9,0.002551855,0.35319062,0.521,0.439,1,1.277382525,,,
Tmem51,8.86E-06,0.350763972,0.498,0.349,0.285920987,1.275235744,,,
Capn2,0.000537995,0.350538306,0.33,0.235,1,1.275036287,,,
Taok3,0.000109908,0.350417878,0.654,0.561,1,1.274929858,,,
Mlph,4.85E-05,0.350282029,0.211,0.112,1,1.274809812,,,
Actn1,0.000554212,0.34960362,0.526,0.418,1,1.27421049,,,
Vcam1,0.198360237,0.348314988,0.408,0.378,1,1.273072859,,,
Cxcl2,0.047063415,0.346292513,0.125,0.084,1,1.271289423,,,
Abhd17c,0.000552352,0.345193624,0.509,0.421,1,1.270321461,,,
Coro1c,0.000289955,0.344720827,0.351,0.253,1,1.269905222,,,
Nckap5,0.005229226,0.344566134,0.588,0.51,1,1.269769064,,,
Flnb,2.43E-05,0.343825469,0.837,0.747,0.782803096,1.269117345,,,
Cd44,0.109673473,0.342997468,0.23,0.194,1,1.268389173,,,
P2rx4,4.52E-06,0.341525112,0.526,0.388,0.145805135,1.267095367,,,
Rtn4,0.007111101,0.341440485,0.621,0.554,1,1.267021043,,,
Hivep2,0.000174201,0.340803218,0.749,0.696,1,1.266461498,,,
Itga6,0.160072386,0.339036242,0.483,0.454,1,1.264911318,,,
Sox9,3.48E-05,0.338596029,0.149,0.064,1,1.264525412,,,
Eml4,0.001003856,0.337820832,0.394,0.309,1,1.263846132,,,
Errfi1,0.003526586,0.337482866,0.633,0.61,1,1.263550098,,,
Arsg,0.00020356,0.335929251,0.247,0.156,1,1.262190134,,,
Cep85,0.049501297,0.335372444,0.766,0.745,1,1.261703086,,,
Rab31,4.69E-06,0.334738406,0.22,0.107,0.151260633,1.261148712,,,
Map3k14,0.000769994,0.334263245,0.517,0.421,1,1.260733413,,,
Spred2,1.89E-05,0.334216202,0.678,0.536,0.609680255,1.260692304,,,
Zbtb16,5.43E-06,0.334050141,0.867,0.798,0.175332117,1.260547201,,,
Fam76a,0.000148389,0.333873248,0.386,0.278,1,1.260392651,,,
Coq10b,3.44E-05,0.333273889,0.422,0.288,1,1.259869138,,,
Gm48678,0.001131597,0.332927934,0.533,0.431,1,1.25956706,,,
Xkr4,0.021654663,0.332533425,0.339,0.273,1,1.259222675,,,
Ablim3,2.12E-05,0.331973128,0.218,0.112,0.683082312,1.258733728,,,
Sec24a,6.84E-05,0.328333364,0.616,0.503,1,1.255562081,,,
Tgfbr3,0.003478284,0.327680205,0.441,0.365,1,1.254993772,,,
Gm31356,1.38E-05,0.327537969,0.201,0.094,0.445913146,1.254870048,,,
Slc13a1,0.427529538,0.326497364,0.721,0.865,1,1.253965246,,,
Calcr,0.000478054,0.325689189,0.1,0.041,1,1.253262991,,,
Mthfd1l,0.000237566,0.32563851,0.346,0.24,1,1.253218967,,,
Etv1,0.001149044,0.325418824,0.322,0.23,1,1.253028148,,,
Srsf7,0.000599925,0.325063975,0.616,0.528,1,1.252719988,,,
Gprin3,0.040543553,0.324581206,0.215,0.166,1,1.25230086,,,
Airn,0.090762873,0.321530797,0.554,0.533,1,1.249655815,,,
Col4a1,0.436583005,0.321463196,0.642,0.651,1,1.249597261,,,
Sgms2,0.100069652,0.320394722,0.727,0.724,1,1.24867214,,,
Sp1,0.000785836,0.320270581,0.324,0.232,1,1.248564699,,,
Magi2,1.70E-05,0.319720799,0.884,0.829,0.548415863,1.248088987,,,
Eef1akmt3,0.004751058,0.318636578,0.356,0.278,1,1.247151369,,,
Hook2,0.00062047,0.317903911,0.505,0.406,1,1.246518169,,,
Slc37a1,0.00079388,0.315886778,0.161,0.089,1,1.244776542,,,
Cdr2,0.002134314,0.315714637,0.479,0.385,1,1.244628025,,,
Lgmn,0.252103613,0.315419269,0.458,0.446,1,1.244373235,,,
Gm9968,0.000474789,0.314830297,0.353,0.247,1,1.24386533,,,
Oasl1,5.74E-05,0.314507847,0.102,0.033,1,1.24358735,,,
Skil,6.59E-05,0.312733886,0.446,0.327,1,1.242059156,,,
Tsc22d2,0.001740324,0.311566342,0.656,0.599,1,1.241054389,,,
Fgfr2,0.293562748,0.311116996,0.834,0.855,1,1.240667906,,,
Tsc22d3,0.000260404,0.310351867,0.396,0.296,1,1.240010096,,,
Cys1,0.00017625,0.309473263,0.453,0.327,1,1.239255158,,,
Stox2,0.042946008,0.308977561,0.386,0.339,1,1.23882943,,,
Slc25a20,5.73E-06,0.308785032,0.289,0.161,0.184782896,1.238664118,,,
Stk40,1.26E-05,0.308157924,0.528,0.38,0.407757854,1.238125814,,,
Trim35,0.000246079,0.307292118,0.277,0.181,1,1.237383,,,
Aldh1a1,6.96E-05,0.305815496,0.202,0.105,1,1.236117166,,,
Akap8l,0.001400654,0.305477371,0.554,0.457,1,1.235827491,,,
Rbbp8,0.012560586,0.304658687,0.522,0.444,1,1.235126396,,,
Raph1,0.013775356,0.304318246,0.422,0.365,1,1.234834971,,,
Agfg2,0.001837057,0.302694032,0.343,0.258,1,1.233445552,,,
Ctsl,5.46E-05,0.302537136,0.33,0.212,1,1.233311419,,,
Gnai2,0.001298172,0.302099648,0.299,0.219,1,1.232937482,,,
Plac8,0.086056862,0.302024654,0.202,0.166,1,1.232873394,,,
Pip5k1b,0.00055429,0.301034534,0.242,0.153,1,1.232027564,,,
Ddr1,0.00016986,0.299893509,0.469,0.344,1,1.231053541,,,
4930402H24Rik,1.96E-05,0.298720551,0.915,0.857,0.630786312,1.230053061,,,
Irf1,0.081534159,0.297409262,0.206,0.171,1,1.228935554,,,
Cflar,0.000167836,0.296137739,0.825,0.735,1,1.227852905,,,
Ddx50,0.001950161,0.295397947,0.571,0.49,1,1.227223443,,,
Slc43a2,0.980750408,0.29504727,0.304,0.314,1,1.226925177,,,
Vwa8,0.004794036,0.294492544,0.82,0.832,1,1.226453507,,,
Tnip1,0.001396855,0.293862744,0.384,0.291,1,1.225918223,,,
Synpo,0.000175709,0.293801105,0.164,0.084,1,1.225865846,,,
Mcc,0.078860351,0.293603322,0.554,0.52,1,1.225697801,,,
Bfar,4.53E-05,0.292617724,0.349,0.23,1,1.224860734,,,
Osbpl8,0.622546594,0.292537223,0.872,0.931,1,1.224792389,,,
Klf6,0.002735792,0.29231587,0.554,0.454,1,1.224604483,,,
Ndel1,0.000781467,0.291426019,0.779,0.696,1,1.223849383,,,
Aspa,0.242824868,0.290286625,0.412,0.393,1,1.222883208,,,
Ralgapa2,0.001746373,0.290213545,0.848,0.781,1,1.222821264,,,
F11r,0.00292588,0.289915271,0.538,0.452,1,1.222568475,,,
Pex11a,5.21E-06,0.289336403,0.292,0.163,0.168175371,1.222078029,,,
Epb41l3,0.710824086,0.288627767,0.419,0.431,1,1.221477905,,,
Pdgfa,4.02E-05,0.287798934,0.23,0.122,1,1.220776363,,,
Pmaip1,0.002560766,0.286605097,0.17,0.105,1,1.219766583,,,
Rassf1,5.41E-05,0.286311572,0.443,0.314,1,1.219518439,,,
Pxmp4,0.004903642,0.286169348,0.375,0.291,1,1.219398223,,,
Gem,0.007161372,0.285630675,0.104,0.056,1,1.218943009,,,
Zc3h15,0.003486896,0.285267253,0.445,0.357,1,1.21863599,,,
Mpc1,0.036311143,0.284755431,0.581,0.551,1,1.218203734,,,
Cdh3,0.013557517,0.283864167,0.14,0.089,1,1.217451388,,,
Tfcp2l1,0.64500832,0.283590215,0.651,0.681,1,1.217220229,,,
Zfp398,0.000356898,0.28349119,0.33,0.23,1,1.217136683,,,
Igf1,0.105646729,0.283170759,0.121,0.089,1,1.21686638,,,
Tnfrsf11a,0.048035251,0.283129948,0.18,0.135,1,1.216831957,,,
Itch,0.000207782,0.282868489,0.872,0.811,1,1.216611452,,,
Rusc2,0.000546505,0.282503886,0.341,0.24,1,1.216304024,,,
Filip1l,0.001560575,0.282078243,0.396,0.298,1,1.215945227,,,
Sparc,2.23E-05,0.281177887,0.159,0.071,0.721090822,1.215186617,,,
Tmem178b,0.000122339,0.280977114,0.275,0.163,1,1.215017517,,,
Dap,9.75E-05,0.280024743,0.296,0.189,1,1.214215708,,,
