rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Naa16,2.68E-10,-0.305974837,0.258,0.357,8.63E-06,-1.236253698,,,
Igsf5,3.97E-12,-0.306013278,0.632,0.726,1.28E-07,-1.236286639,,,
Tmbim4,6.82E-83,-0.30666578,0.018,0.192,2.20E-78,-1.236845913,,,
Kalrn,6.39E-11,-0.306687612,0.256,0.35,2.06E-06,-1.23686463,,,
Klhl29,1.47E-09,-0.30771118,0.269,0.367,4.74E-05,-1.237742477,,,
4931406C07Rik,5.89E-111,-0.308079404,0,0.171,1.90E-106,-1.23805843,,,
Herc2,8.89E-13,-0.309354148,0.397,0.512,2.87E-08,-1.239152844,,,
Trim24,1.36E-07,-0.309601719,0.497,0.546,0.004403928,-1.239365505,,,
Rab3ip,1.27E-16,-0.310631545,0.652,0.787,4.08E-12,-1.240250506,,,
Aldh6a1,1.04E-22,-0.310802168,0.241,0.399,3.36E-18,-1.240397195,,,
0610040J01Rik,5.36E-14,-0.310803638,0.678,0.775,1.73E-09,-1.240398459,,,
Epb41l3,4.88E-70,-0.310818434,0.019,0.172,1.58E-65,-1.240411179,,,
Meis2,7.92E-103,-0.312553385,0.01,0.197,2.55E-98,-1.241903766,,,
Prpf39,1.21E-11,-0.312703434,0.431,0.54,3.92E-07,-1.242032938,,,
Sim1,4.14E-16,-0.312728742,0.714,0.828,1.34E-11,-1.242054726,,,
Atrnl1,5.48E-13,-0.312913852,0.596,0.709,1.77E-08,-1.242214103,,,
Dcun1d1,2.21E-14,-0.314624322,0.462,0.595,7.14E-10,-1.243687754,,,
Adcy6,6.36E-13,-0.315309551,0.416,0.527,2.05E-08,-1.244278602,,,
Herc3,7.15E-17,-0.31572745,0.258,0.401,2.31E-12,-1.244639079,,,
Slc9a2,1.28E-15,-0.316169581,0.074,0.159,4.14E-11,-1.245020572,,,
Itsn2,1.33E-12,-0.316225911,0.554,0.648,4.29E-08,-1.245069185,,,
Clcnkb,3.89E-17,-0.317779931,0.242,0.368,1.26E-12,-1.246411052,,,
Wsb1,9.66E-14,-0.318054529,0.323,0.446,3.12E-09,-1.246648313,,,
R3hdm1,1.65E-13,-0.318113457,0.573,0.683,5.33E-09,-1.246699234,,,
Gm41496,5.07E-10,-0.319290601,0.13,0.208,1.64E-05,-1.247716873,,,
Ankib1,1.95E-14,-0.320370107,0.369,0.5,6.30E-10,-1.248650835,,,
Ldb2,4.95E-95,-0.321840715,0.016,0.204,1.60E-90,-1.249924293,,,
Hacd2,1.10E-18,-0.323597394,0.21,0.343,3.54E-14,-1.251447175,,,
Dock9,9.67E-27,-0.324688733,0.256,0.439,3.12E-22,-1.252394201,,,
Bicc1,2.30E-24,-0.32490072,0.911,0.956,7.44E-20,-1.252578239,,,
Cat,3.56E-50,-0.325280449,0.027,0.159,1.15E-45,-1.252907971,,,
Rcor3,1.90E-15,-0.325582275,0.223,0.344,6.12E-11,-1.253170119,,,
Casr,3.38E-12,-0.328392419,0.5,0.633,1.09E-07,-1.255613477,,,
Macrod2,3.40E-14,-0.328669388,0.621,0.739,1.10E-09,-1.255854553,,,
Sema3c,9.75E-11,-0.328877736,0.301,0.395,3.14E-06,-1.256035931,,,
Phf14,2.05E-12,-0.329063249,0.529,0.652,6.62E-08,-1.256197452,,,
Gal3st1,1.65E-12,-0.331011464,0.296,0.402,5.31E-08,-1.257894967,,,
Nus1,5.07E-40,-0.33154984,0.111,0.286,1.64E-35,-1.258364469,,,
Nek7,3.08E-17,-0.333837867,0.406,0.539,9.94E-13,-1.260361741,,,
Car15,3.96E-27,-0.334010728,0.125,0.276,1.28E-22,-1.260512764,,,
Cox7b,1.35E-26,-0.335323888,0.297,0.492,4.36E-22,-1.261660622,,,
Phyhipl,3.98E-18,-0.336742617,0.236,0.377,1.29E-13,-1.262901934,,,
Lamp1,8.21E-42,-0.336960053,0.115,0.302,2.65E-37,-1.263092287,,,
Itpr2,2.57E-14,-0.338599709,0.427,0.569,8.31E-10,-1.264528637,,,
Col4a3bp,7.35E-16,-0.339231531,0.438,0.574,2.37E-11,-1.265082553,,,
Ninl,1.29E-15,-0.339707459,0.569,0.682,4.17E-11,-1.265499958,,,
Mff,2.43E-17,-0.34017003,0.364,0.501,7.83E-13,-1.265905779,,,
Dnajc13,9.89E-14,-0.340679725,0.379,0.486,3.19E-09,-1.266353095,,,
Mbd5,1.36E-17,-0.341696632,0.739,0.839,4.40E-13,-1.26724602,,,
Slc25a17,1.80E-13,-0.343478037,0.344,0.454,5.81E-09,-1.26881175,,,
Nr3c1,7.71E-14,-0.348494487,0.398,0.521,2.49E-09,-1.273231264,,,
Cttnbp2,1.34E-18,-0.349283383,0.184,0.312,4.32E-14,-1.273927683,,,
Gm16685,6.40E-19,-0.350302418,0.718,0.829,2.06E-14,-1.274827829,,,
Dmxl1,6.72E-18,-0.350398516,0.689,0.815,2.17E-13,-1.274912748,,,
St7l,7.50E-15,-0.35198625,0.346,0.47,2.42E-10,-1.276316605,,,
Gm42650,3.10E-13,-0.352535051,0.179,0.283,1.00E-08,-1.276802207,,,
Tenm4,1.24E-13,-0.352951555,0.334,0.47,4.01E-09,-1.277170871,,,
Hnrnpa3,1.04E-20,-0.354003673,0.459,0.634,3.34E-16,-1.278102617,,,
Kidins220,4.77E-18,-0.354294832,0.808,0.875,1.54E-13,-1.278360585,,,
Snd1,7.45E-21,-0.354464209,0.599,0.752,2.40E-16,-1.278510677,,,
AW549877,2.14E-18,-0.354936181,0.228,0.356,6.89E-14,-1.278929005,,,
Banp,1.18E-17,-0.355223746,0.34,0.488,3.81E-13,-1.279183953,,,
Mib1,1.93E-17,-0.355939365,0.403,0.55,6.24E-13,-1.279818623,,,
Naca,9.89E-78,-0.359351632,0.026,0.206,3.19E-73,-1.282849237,,,
Ddx46,1.78E-12,-0.360339192,0.356,0.458,5.74E-08,-1.283727679,,,
Ptprd,4.97E-22,-0.362301568,0.816,0.901,1.60E-17,-1.285475014,,,
Ppp2r5e,3.20E-18,-0.362577792,0.555,0.697,1.03E-13,-1.285721159,,,
Cdh16,1.47E-29,-0.362812081,0.309,0.505,4.75E-25,-1.285929973,,,
