rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Slc12a6,2.52E-08,-0.283059091,0.376,0.526,0.000813462,-1.216772195,,,
Ncoa7,6.19E-11,-0.283571124,0.291,0.461,2.00E-06,-1.217204121,,,
Ptpn22,4.70E-10,-0.283755203,0.038,0.117,1.52E-05,-1.21735944,,,
Zfp697,1.10E-13,-0.28436138,0.142,0.297,3.54E-09,-1.217871044,,,
Gpc5,1.27E-07,-0.285030647,0.048,0.119,0.004086075,-1.218436146,,,
Kmo,2.46E-19,-0.286981041,0.007,0.101,7.94E-15,-1.220084477,,,
Amot,1.63E-07,-0.28710439,0.087,0.171,0.005256786,-1.220188797,,,
Naa16,9.28E-08,-0.287376399,0.279,0.399,0.002994919,-1.220418876,,,
Zfand6,7.84E-07,-0.287435672,0.419,0.538,0.025296946,-1.220469018,,,
Glb1,2.00E-10,-0.290135996,0.17,0.305,6.46E-06,-1.222755536,,,
Slc9a3,2.94E-08,-0.290434757,0.053,0.131,0.000949258,-1.223008777,,,
Klf15,1.71E-09,-0.29052536,0.147,0.264,5.52E-05,-1.223085586,,,
Arhgap5,2.13E-08,-0.290651972,0.489,0.647,0.000687052,-1.223192929,,,
Gm45792,3.64E-15,-0.290839659,0.05,0.17,1.17E-10,-1.22335207,,,
Gm16685,2.35E-11,-0.291371404,0.128,0.261,7.58E-07,-1.223803054,,,
Ctnna2,3.54E-16,-0.291760693,0.016,0.11,1.14E-11,-1.224133323,,,
B3gat2,8.73E-17,-0.291964597,0.032,0.143,2.82E-12,-1.224306348,,,
Cfap69,9.07E-10,-0.292080738,0.073,0.168,2.92E-05,-1.224404912,,,
Slc7a8,1.97E-12,-0.292291227,0.058,0.167,6.35E-08,-1.224583566,,,
Aatf,2.04E-08,-0.292565306,0.226,0.342,0.000658975,-1.224816231,,,
Pdzd2,5.49E-08,-0.293001946,0.423,0.565,0.001772668,-1.225186985,,,
Scin,8.83E-09,-0.29356144,0.059,0.144,0.000284953,-1.225662219,,,
Mff,1.02E-07,-0.29371832,0.233,0.342,0.003296185,-1.225795505,,,
Csad,9.66E-12,-0.294670416,0.101,0.225,3.12E-07,-1.226604727,,,
Kifc3,2.75E-11,-0.295353833,0.138,0.272,8.87E-07,-1.227185918,,,
Slc43a2,5.46E-10,-0.296036076,0.087,0.195,1.76E-05,-1.227766385,,,
Fam114a2,2.17E-08,-0.29683399,0.118,0.216,0.000701326,-1.228445616,,,
Smarca2,1.29E-09,-0.297054137,0.4,0.562,4.16E-05,-1.228633084,,,
Impa1,3.13E-10,-0.297435415,0.056,0.146,1.01E-05,-1.228957832,,,
Frmpd4,5.77E-11,-0.297828819,0.042,0.132,1.86E-06,-1.229292999,,,
Igsf11,4.74E-13,-0.298402094,0.036,0.131,1.53E-08,-1.229781572,,,
Prkcz,2.45E-21,-0.298670439,0.007,0.11,7.92E-17,-1.230010336,,,
Gas6,5.19E-11,-0.299358293,0.19,0.333,1.67E-06,-1.230596925,,,
Gpm6a,5.47E-12,-0.299477124,0.056,0.159,1.76E-07,-1.230698291,,,
Arhgap18,1.66E-08,-0.299929112,0.241,0.377,0.000536443,-1.231083921,,,
Msh3,1.40E-07,-0.300815302,0.192,0.297,0.004511547,-1.231840359,,,
Phip,1.73E-10,-0.300849914,0.547,0.706,5.58E-06,-1.231869913,,,
Ddrgk1,1.08E-25,-0.300893621,0.018,0.158,3.49E-21,-1.231907234,,,
Abcd3,1.59E-16,-0.302083409,0.168,0.357,5.11E-12,-1.232923605,,,
Numa1,3.15E-10,-0.302198257,0.302,0.45,1.02E-05,-1.233021758,,,
Acot12,1.15E-11,-0.302684195,0.025,0.104,3.70E-07,-1.233437142,,,
Ksr1,1.09E-06,-0.302791617,0.472,0.587,0.035030101,-1.233528986,,,
Pxmp4,2.67E-12,-0.30305671,0.09,0.212,8.63E-08,-1.233755666,,,
Clybl,1.55E-08,-0.303074603,0.233,0.369,0.000500461,-1.233770967,,,
Shank2,6.01E-07,-0.303139353,0.136,0.233,0.01940304,-1.233826342,,,
Agps,1.63E-08,-0.304090527,0.246,0.378,0.000524403,-1.234640076,,,
Cadm1,8.18E-16,-0.305027514,0.095,0.245,2.64E-11,-1.235442198,,,
Plxdc2,2.04E-07,-0.305142982,0.689,0.803,0.006594568,-1.235541083,,,
Nus1,1.59E-12,-0.306084413,0.172,0.323,5.14E-08,-1.236347598,,,
Slc17a1,3.59E-20,-0.307195204,0.016,0.129,1.16E-15,-1.23729988,,,
Hsph1,3.97E-30,-0.307476613,0.034,0.213,1.28E-25,-1.237541249,,,
Epb41,1.30E-09,-0.307596314,0.486,0.671,4.19E-05,-1.237643932,,,
Met,1.32E-10,-0.30817275,0.126,0.249,4.26E-06,-1.238138538,,,
Slc23a1,6.48E-22,-0.308810713,0.011,0.123,2.09E-17,-1.238686167,,,
Tpcn1,2.94E-09,-0.30886641,0.115,0.219,9.48E-05,-1.238733989,,,
Pign,1.49E-08,-0.309074959,0.261,0.389,0.000481025,-1.238913067,,,
Fut8,1.41E-10,-0.309743885,0.404,0.58,4.54E-06,-1.23948764,,,
Arhgap42,5.25E-09,-0.309912034,0.373,0.529,0.000169459,-1.239632113,,,
Rims2,8.37E-15,-0.311059741,0.044,0.155,2.70E-10,-1.24061867,,,
Akap9,1.29E-07,-0.311612294,0.501,0.613,0.004146602,-1.241093919,,,
Nedd4l,1.14E-14,-0.311749402,0.318,0.533,3.69E-10,-1.241211873,,,
Sh3tc2,2.09E-09,-0.312487323,0.055,0.14,6.75E-05,-1.2418469,,,
Itpr2,3.67E-07,-0.312622988,0.527,0.65,0.011835101,-1.241963684,,,
Ms4a4b,2.25E-14,-0.312844409,0.017,0.102,7.24E-10,-1.242154311,,,
Sh3rf1,5.54E-11,-0.313157203,0.568,0.737,1.79E-06,-1.242423655,,,
Ptprj,1.03E-07,-0.313580729,0.359,0.495,0.003311872,-1.242788441,,,
Mtor,1.16E-12,-0.313654545,0.181,0.342,3.75E-08,-1.242852031,,,
Acadm,6.70E-21,-0.314900533,0.105,0.291,2.16E-16,-1.243925887,,,
Lmbrd2,1.65E-08,-0.314910485,0.199,0.312,0.000532377,-1.243934468,,,
Nt5e,1.45E-07,-0.314973743,0.233,0.35,0.004679277,-1.243989013,,,
Kl,9.30E-22,-0.315496641,0.029,0.162,3.00E-17,-1.244439972,,,
Ablim1,4.72E-14,-0.315719618,0.232,0.414,1.52E-09,-1.244632323,,,
Acad11,5.01E-17,-0.315894011,0.051,0.179,1.62E-12,-1.244782783,,,
Zfp503,1.75E-19,-0.316472255,0.045,0.182,5.66E-15,-1.245281802,,,
Map7,1.93E-07,-0.316584267,0.208,0.315,0.006240145,-1.245378491,,,
Stx16,1.50E-11,-0.31706559,0.265,0.425,4.83E-07,-1.245794052,,,
Ppp2r3a,1.68E-08,-0.31804121,0.585,0.715,0.000543519,-1.246636803,,,
Slc25a3,3.48E-16,-0.319173749,0.149,0.329,1.12E-11,-1.247615818,,,
Tfcp2l1,7.45E-12,-0.319990807,0.095,0.222,2.40E-07,-1.248322594,,,
Hykk,2.97E-26,-0.321532628,0.003,0.12,9.58E-22,-1.249657401,,,
Fgfr2,3.07E-15,-0.322461315,0.32,0.539,9.89E-11,-1.250462086,,,
Tmem135,3.96E-09,-0.323051893,0.459,0.62,0.000127802,-1.250974077,,,
Kynu,9.79E-17,-0.323417776,0.025,0.129,3.16E-12,-1.251291377,,,
Ptprk,1.25E-09,-0.324073792,0.763,0.869,4.02E-05,-1.251860488,,,
Swt1,8.17E-07,-0.324560711,0.34,0.444,0.026367224,-1.25228307,,,
Etv1,1.45E-08,-0.324573846,0.055,0.134,0.000466966,-1.252294472,,,
