rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Trim47,2.99E-06,0.323158951,0.18,0.093,0.096351666,1.251066911,,,
Calm1,0.000696072,0.322268428,0.509,0.429,1,1.250294911,,,
Hoxaas3,2.63E-06,0.32049126,0.213,0.118,0.084861898,1.248755697,,,
Kras,0.000588646,0.320054309,0.538,0.488,1,1.248377542,,,
Fbxo42,4.62E-05,0.318912655,0.35,0.25,1,1.247390049,,,
Hoxb9,1.14E-05,0.317848747,0.416,0.307,0.36896062,1.246470507,,,
Dtnbos,3.30E-06,0.316786672,0.213,0.12,0.106557288,1.245553225,,,
Atf3,7.53E-06,0.316126053,0.1,0.039,0.242937475,1.244983009,,,
Hdgfl3,0.000104255,0.315392667,0.17,0.101,1,1.24435029,,,
Pitpnm3,7.00E-05,0.3151294,0.167,0.096,1,1.244123237,,,
Map3k21,0.002644493,0.314912168,0.161,0.108,1,1.243935919,,,
Ncam1,0.00361518,0.313757858,0.226,0.173,1,1.242941036,,,
Prdm16,0.186647589,0.313484664,0.152,0.131,1,1.242705691,,,
Spata13,4.15E-05,0.312500044,0.223,0.137,1,1.24185785,,,
Mcc,0.033019005,0.310993275,0.299,0.261,1,1.240561515,,,
Gm44148,8.20E-06,0.310937264,0.124,0.056,0.264408228,1.240513353,,,
Slc39a8,0.01733932,0.31002682,0.12,0.084,1,1.239730746,,,
Gm15614,1.53E-05,0.310015338,0.228,0.134,0.493282384,1.23972088,,,
Large1,0.059518582,0.309964002,0.427,0.407,1,1.239676767,,,
Plxna4,0.000711431,0.309884722,0.133,0.078,1,1.239608646,,,
Hoxb5,2.88E-05,0.308922923,0.247,0.157,0.93075782,1.238782513,,,
Palm,0.005759099,0.308866416,0.281,0.223,1,1.238733994,,,
Cul5,1.13E-05,0.308406558,0.353,0.25,0.363810468,1.238339211,,,
Hook2,0.009766366,0.308400082,0.343,0.284,1,1.238333653,,,
Atp6v0a1,0.000198379,0.30720733,0.579,0.499,1,1.23731028,,,
Hoxa3,0.000867627,0.306919826,0.411,0.327,1,1.23706373,,,
Prkcd,0.019643506,0.306030172,0.398,0.338,1,1.236301117,,,
Tbc1d9,7.38E-05,0.30577103,0.164,0.094,1,1.236079067,,,
Cdip1,0.002527618,0.305271094,0.419,0.351,1,1.235650804,,,
Prkcq,2.93E-05,0.304877618,0.151,0.078,0.94617596,1.235313843,,,
Supt20,0.000833549,0.304608173,0.372,0.308,1,1.235083151,,,
Cers6,0.900591964,0.304013805,0.379,0.399,1,1.23457442,,,
Ythdf2,0.000958375,0.301792873,0.284,0.215,1,1.232675338,,,
Fam234a,0.000234374,0.301335132,0.274,0.194,1,1.232284295,,,
Ncoa1,0.000345521,0.301218558,0.66,0.602,1,1.232184726,,,
Gm17494,2.08E-06,0.300512287,0.132,0.057,0.067172836,1.231581658,,,
Larp1b,0.018504532,0.299329826,0.584,0.524,1,1.230572643,,,
Avl9,0.001948306,0.29901485,0.43,0.365,1,1.230304008,,,
Per2,2.48E-06,0.297855418,0.334,0.215,0.079988576,1.229315663,,,
Sos2,0.069526627,0.297516473,0.44,0.412,1,1.229026883,,,
Fez2,0.00013147,0.296794419,0.136,0.076,1,1.228411922,,,
Eprs,0.466933365,0.296730108,0.414,0.409,1,1.228357165,,,
Dvl1,0.000205558,0.296058011,0.258,0.184,1,1.227785053,,,
Mpp7,0.004321572,0.294269262,0.602,0.571,1,1.226263707,,,
