rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Hmgcs2,0,1.599512207,0.638,0.151,0,3.030408342,,234,293
Gm15441,0,1.211295168,0.327,0.027,0,2.315454116,,,
Aldh1a1,3.67E-294,1.189272397,0.483,0.193,1.18E-289,2.280377065,,,
Cyp4a14,1.55E-208,1.172289193,0.463,0.233,4.99E-204,2.253690171,,,
Gm16311,0,1.087657951,0.951,0.884,0,2.125287405,,,
Noct,4.39E-280,0.958427208,0.728,0.491,1.42E-275,1.943190319,,,
Il34,1.13E-101,0.922470981,0.492,0.332,3.63E-97,1.895358798,,,
Slc16a14,1.04E-24,0.892000106,0.577,0.568,3.35E-20,1.855747089,,,
Pdk4,3.70E-139,0.859108346,0.212,0.065,1.19E-134,1.813916878,,,
Resf1,5.43E-110,0.822981129,0.734,0.618,1.75E-105,1.769057731,,,
Txnip,9.34E-174,0.816421771,0.31,0.121,3.01E-169,1.761032788,,,
Acaa1b,9.13E-113,0.80068371,0.729,0.674,2.94E-108,1.74192645,,,
Slc13a1,1.94E-160,0.742900881,0.95,0.944,6.25E-156,1.673537502,,,
Acox1,0,0.73355395,0.988,0.972,0,1.662730037,,,
Gm43305,7.67E-276,0.7314891,0.493,0.214,2.48E-271,1.660351965,,,
Glud1,2.50E-244,0.717991046,0.926,0.843,8.06E-240,1.644889928,,,
Ehhadh,1.20E-108,0.717670914,0.589,0.413,3.87E-104,1.64452497,,,
Tfcp2l1,3.67E-87,0.695293058,0.788,0.718,1.19E-82,1.619213315,,,
Tob2,1.33E-217,0.69032106,0.693,0.438,4.28E-213,1.613642582,,,
Dgkh,4.40E-269,0.685049144,0.956,0.892,1.42E-264,1.607756747,,,
Rora,1.41E-299,0.677450126,0.972,0.935,4.53E-295,1.599310573,,,
Mapk4,1.16E-187,0.672635584,0.862,0.716,3.75E-183,1.593982272,,,
Cep85,5.16E-182,0.634783683,0.898,0.801,1.67E-177,1.552704921,,,
Il7,1.01E-109,0.63073162,0.628,0.451,3.25E-105,1.548349995,,,
Slc25a20,1.40E-203,0.615219169,0.557,0.295,4.53E-199,1.531790683,,,
Ppara,6.86E-207,0.611326253,0.969,0.95,2.21E-202,1.527662927,,,
Trdn,6.56E-113,0.606636479,0.195,0.065,2.12E-108,1.52270501,,,
Gm22146,3.54E-180,0.599943633,0.56,0.31,1.14E-175,1.515657348,,,
Nuak2,2.67E-12,0.587484051,0.469,0.436,8.61E-08,1.502624001,,,
Nudt19,1.74E-76,0.575927242,0.751,0.696,5.62E-72,1.490635209,,,
Gm35188,1.46E-103,0.573511729,0.765,0.649,4.71E-99,1.488141518,,,
Slc25a30,5.62E-134,0.566085516,0.633,0.428,1.81E-129,1.480501053,,,
Tbc1d14,1.61E-135,0.56136349,0.804,0.663,5.20E-131,1.475663206,,,
Lpl,1.82E-40,0.554043303,0.382,0.283,5.86E-36,1.468194704,,,
Acvr2b,2.48E-99,0.547268628,0.403,0.243,7.99E-95,1.461316449,,,
Erbb4,4.68E-74,0.53983603,0.509,0.359,1.51E-69,1.453807275,,,
Nxph1,9.04E-51,0.539340735,0.378,0.261,2.92E-46,1.453308251,,,
Gm15962,1.94E-62,0.538475348,0.557,0.423,6.27E-58,1.452436759,,,
Timp3,7.31E-24,0.53689739,0.777,0.806,2.36E-19,1.450849014,,,
Sqstm1,7.28E-125,0.536280056,0.696,0.513,2.35E-120,1.450228324,,,
Bhlhe40,8.39E-141,0.533888329,0.6,0.384,2.71E-136,1.4478261,,,
Gm49708,4.48E-99,0.528433037,0.243,0.105,1.45E-94,1.442361744,,,
Gldc,1.21E-208,0.527159473,0.9,0.762,3.91E-204,1.441089035,,,
Bcl2l1,6.97E-83,0.51932974,0.83,0.758,2.25E-78,1.433289204,,,
Tsc22d3,8.83E-89,0.518543196,0.574,0.413,2.85E-84,1.432508,,,
Fmo2,4.67E-92,0.517722639,0.798,0.689,1.51E-87,1.431693469,,,
Kcnk5,2.44E-93,0.516610289,0.923,0.918,7.87E-89,1.430590027,,,
Slc5a12,2.25E-11,0.513176698,0.145,0.205,7.25E-07,1.427189293,,,
Col4a3,3.52E-99,0.511554891,0.972,0.981,1.13E-94,1.425585819,,,
Klf10,7.33E-181,0.505781393,0.355,0.136,2.37E-176,1.419892191,,,
Nedd9,4.91E-72,0.502943613,0.402,0.276,1.58E-67,1.417102009,,,
Cyp4a31,7.98E-44,0.502895267,0.565,0.477,2.57E-39,1.417054521,,,
Fkbp5,2.13E-189,0.50178539,0.958,0.908,6.87E-185,1.415964789,,,
Pawr,6.11E-99,0.49815678,0.948,0.919,1.97E-94,1.412407885,,,
Glul,2.30E-55,0.493504904,0.593,0.472,7.41E-51,1.407861002,,,
Dab2,9.46E-194,0.487271963,0.995,0.993,3.05E-189,1.401791677,,,
Pank1,1.23E-52,0.484221962,0.88,0.854,3.97E-48,1.398831279,,,
Phyh,1.06E-73,0.483836233,0.793,0.709,3.43E-69,1.398457329,,,
9530026P05Rik,1.21E-110,0.483443508,0.708,0.54,3.89E-106,1.398076697,,,
Gcnt2,1.27E-71,0.482880039,0.897,0.859,4.11E-67,1.397530762,,,
Aldob,1.75E-13,0.480593026,0.592,0.62,5.66E-09,1.3953171,,,
Aacs,2.80E-62,0.475807713,0.611,0.488,9.03E-58,1.390696603,,,
Uap1,4.72E-62,0.475684416,0.663,0.539,1.52E-57,1.390577755,,,
Gm15511,6.35E-118,0.47255991,0.359,0.179,2.05E-113,1.387569381,,,
Aldh1a7,7.08E-47,0.470266369,0.277,0.177,2.28E-42,1.385365228,,,
Trpm3,4.02E-114,0.468900269,0.369,0.188,1.30E-109,1.384054035,,,
Susd3,1.91E-126,0.466553678,0.792,0.63,6.16E-122,1.381804656,,,
9630028H03Rik,5.04E-96,0.465921692,0.415,0.246,1.63E-91,1.381199476,,,
Pxmp4,2.57E-126,0.464803498,0.749,0.556,8.28E-122,1.38012936,,,
