rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Anxa11,0.064611812,0.266032385,0.568,0.516,1,1.202496242,,,
Rps6ka1,0.210036969,0.264938494,0.308,0.285,1,1.201584821,,,
Pi4kb,0.142137295,0.264649898,0.368,0.333,1,1.201344481,,,
Tifa,0.40745301,0.264607074,0.222,0.199,1,1.201308822,,,
Dlst,0.156572647,0.264600291,0.443,0.396,1,1.201303174,,,
Pds5b,0.035506166,0.263156125,0.422,0.348,1,1.200101247,,,
Ptp4a2,0.667709112,0.262663464,0.53,0.587,1,1.199691499,,,
Vapa,0.153038511,0.262373846,0.486,0.453,1,1.199450688,,,
Dstn,0.373760608,0.262327975,0.411,0.379,1,1.199412551,,,
Lmbr1l,0.034265761,0.262254348,0.232,0.165,1,1.199351341,,,
Pnp,0.014147477,0.26214179,0.13,0.068,1,1.199257772,,,
Met,0.303937203,0.261665264,0.6,0.644,1,1.19886172,,,
Malrd1,0.02431235,0.261486253,0.822,0.749,1,1.198712973,,,
Fbxw11,0.082329477,0.261471419,0.589,0.547,1,1.198700648,,,
Jund,1.22E-05,0.261128082,0.222,0.085,0.3929458,1.198415412,,,
Spidr,0.860351202,0.260647798,0.303,0.333,1,1.198016516,,,
Ppm1d,0.340214002,0.26060378,0.184,0.16,1,1.197979964,,,
Arhgef28,0.018217845,0.260231123,0.832,0.778,1,1.197670559,,,
Nipsnap2,0.249587607,0.260167759,0.497,0.47,1,1.197617957,,,
9530068E07Rik,0.000539961,0.260147201,0.157,0.066,1,1.197600892,,,
Ywhaq,0.166596784,0.259723818,0.395,0.362,1,1.197249487,,,
Nxn,0.850725142,0.258923768,0.119,0.131,1,1.196585734,,,
Gramd3,0.090970287,0.258407238,0.605,0.593,1,1.196157396,,,
H13,0.502970912,0.258329821,0.249,0.242,1,1.19609321,,,
Prrc1,0.409772471,0.258175081,0.2,0.177,1,1.195964927,,,
Gm15261,0.386530126,0.257653588,0.341,0.308,1,1.195532698,,,
Stk38,0.343903952,0.256794538,0.411,0.39,1,1.194821032,,,
Krt18,0.001742705,0.256600229,0.13,0.054,1,1.194660118,,,
Tpm1,0.659888933,0.256541527,0.259,0.259,1,1.19461151,,,
Ccdc25,0.292035557,0.256453658,0.13,0.108,1,1.194538753,,,
Arl5b,0.490924555,0.256298465,0.173,0.165,1,1.194410262,,,
Bicc1,0.164485358,0.255817283,0.784,0.806,1,1.194011956,,,
Dag1,0.836858952,0.255624203,0.47,0.501,1,1.193852169,,,
Ptk7,0.174561014,0.255594786,0.146,0.111,1,1.193827826,,,
Slco4a1,0.210327644,0.255513561,0.103,0.074,1,1.193760614,,,
Rnf115,0.372040478,0.255258442,0.319,0.308,1,1.193549535,,,
D930016D06Rik,0.379896741,0.255169433,0.259,0.242,1,1.193475899,,,
Eif5,0.477764955,0.255007651,0.449,0.459,1,1.193342072,,,
Nup98,0.130617589,0.254755673,0.584,0.538,1,1.193133663,,,
Chst8,0.363277693,0.254414657,0.205,0.182,1,1.19285167,,,
