rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Rfx3,3.98E-60,-0.418643925,0.446,0.57,1.28E-55,-1.336670547,,,
Acss2,2.80E-36,-0.418674916,0.551,0.609,9.04E-32,-1.336699261,,,
Dmgdh,8.27E-94,-0.419250014,0.09,0.228,2.67E-89,-1.337232213,,,
Ugt8a,4.49E-78,-0.421895203,0.411,0.586,1.45E-73,-1.339686284,,,
Ints6,2.34E-50,-0.424637146,0.415,0.521,7.56E-46,-1.342234873,,,
Slc6a19,1.25E-49,-0.427719823,0.703,0.737,4.02E-45,-1.345105958,,,
Galnt18,1.12E-67,-0.430036068,0.284,0.448,3.61E-63,-1.347267259,,,
Nfyc,7.48E-68,-0.437982064,0.762,0.812,2.41E-63,-1.354708135,,,
Myo9a,2.23E-56,-0.438317767,0.67,0.747,7.20E-52,-1.355023401,,,
Arhgap24,1.13E-58,-0.438856576,0.667,0.77,3.63E-54,-1.355529562,,,
Gm32569,2.44E-48,-0.44207268,0.357,0.456,7.87E-44,-1.358554724,,,
Mpv17l,1.78E-115,-0.442454693,0.172,0.358,5.75E-111,-1.358914505,,,
Fmnl2,1.25E-242,-0.444843875,0.01,0.195,4.04E-238,-1.361166807,,,
Atp5a1,5.25E-178,-0.4449015,0.038,0.215,1.69E-173,-1.361221176,,,
Pde3b,4.15E-95,-0.45108632,0.142,0.302,1.34E-90,-1.367069245,,,
Fras1,4.10E-59,-0.451530885,0.239,0.36,1.32E-54,-1.367490571,,,
Ptprj,1.19E-78,-0.4568397,0.627,0.763,3.84E-74,-1.372531919,,,
Ldlr,1.98E-157,-0.459680845,0.024,0.166,6.37E-153,-1.375237552,,,
Arhgap18,4.55E-67,-0.462102208,0.59,0.7,1.47E-62,-1.377547636,,,
Wnk1,1.65E-66,-0.462714436,0.504,0.646,5.33E-62,-1.378132341,,,
Itga1,1.06E-59,-0.463367728,0.44,0.544,3.43E-55,-1.378756539,,,
Cyp2j11,4.36E-71,-0.466711922,0.456,0.594,1.41E-66,-1.381956229,,,
Syne2,5.57E-137,-0.480724135,0.868,0.943,1.80E-132,-1.395443909,,,
Oxct1,2.43E-82,-0.48091967,0.464,0.624,7.84E-78,-1.395633052,,,
Ces1f,3.86E-57,-0.483545408,0.241,0.371,1.24E-52,-1.39817545,,,
Lrrk2,1.33E-91,-0.48431566,0.836,0.89,4.29E-87,-1.398922132,,,
Usp53,1.50E-134,-0.485033966,0.142,0.332,4.83E-130,-1.399618817,,,
Cndp1,1.06E-53,-0.493681596,0.272,0.389,3.41E-49,-1.408033438,,,
Nos1ap,4.17E-78,-0.495345501,0.598,0.685,1.35E-73,-1.409658304,,,
Cdh16,5.99E-271,-0.49570356,0.029,0.256,1.93E-266,-1.410008207,,,
Bhmt2,2.90E-153,-0.496426452,0.105,0.303,9.37E-149,-1.410714898,,,
St8sia1,8.07E-67,-0.497337952,0.429,0.559,2.60E-62,-1.411606474,,,
Ugt2b37,3.64E-125,-0.501697681,0.081,0.247,1.18E-120,-1.415878708,,,
Snx29,3.91E-278,-0.502507575,0.993,0.998,1.26E-273,-1.416673771,,,
